institution_number,institution_name,type,first_date,last_date,num_months
10473,RMS-ASSOCIATES,Originator,2010-05-01,2025-06-01,182
10475,AVALON MORTGAGE CORPORATION,Originator,2010-05-01,2011-03-01,11
1048,"BOXCAR MORTGAGE, LLC",Originator,2021-10-01,2025-06-01,45
1048,"BOXCAR MORTGAGE, LLC",Sponsor,2023-07-01,2025-05-01,12
10484,MARATHON MORTGAGE SERVICES INC,Originator,2010-05-01,2011-02-01,10
10488,"STEWART MORTGAGE LENDING, LLC",Originator,2010-07-01,2011-01-01,5
10489,CORNERSTONE MORTGAGE INC,Originator,2010-05-01,2018-05-01,97
10496,CYPRUS CREDIT UNION,Originator,2010-05-01,2025-06-01,137
1050,"SUPERIOR FINANCIAL SOLUTIONS, LLC",Originator,2022-09-01,2025-05-01,18
10503,BANK OF NEVADA,Originator,2010-07-01,2011-01-01,4
10505,ACCESS MORTGAGE SERVICES OF CTR FL INC,Originator,2010-06-01,2010-06-01,1
10507,R AND G FINANCIAL SERVICES INC,Originator,2010-05-01,2011-02-01,10
10510,NUGENT MORTGAGE CORPORATION,Originator,2010-09-01,2011-01-01,4
1052,AMNET ESOP CORPORATION,Originator,2022-03-01,2023-10-01,18
10520,MARKET MORTGAGE COMPANY LIMITED,Originator,2010-05-01,2016-01-01,68
10527,TUCKER MORTGAGE LLC,Originator,2010-05-01,2024-01-01,164
10529,ARMSTRONG BANK,Originator,2010-05-01,2023-07-01,159
10532,DIAMOND MORTGAGE SERVICES INC,Originator,2010-05-01,2011-02-01,9
10534,AMERICA'S MORTGAGE RESOURCE INC,Originator,2010-05-01,2025-03-01,159
10538,SUN MORTGAGE LLC,Originator,2010-05-01,2011-04-01,12
1054,"LITTON MORTGAGE, INC",Originator,2022-05-01,2022-09-01,5
10551,FARMERS STATE BANK,Originator,2010-05-01,2010-12-01,3
10555,HOMETOWN SECURITY MORTGAGE INC,Originator,2010-05-01,2011-01-01,5
10555,HOMETOWN SECURITY MORTGAGE INC,Sponsor,2010-07-01,2010-09-01,3
1056,"ONTO MORTGAGE, LLC",Originator,2022-03-01,2022-10-01,7
10567,LAKE CITY BANK,Originator,2010-07-01,2010-10-01,4
10569,SUMMIT FUNDING INC,Originator,2010-05-01,2025-06-01,182
10569,SUMMIT FUNDING INC,Sponsor,2010-05-01,2021-11-01,8
1057,"INTEGRITY MORTGAGE, LLC",Originator,2021-11-01,2023-12-01,25
10573,BENCHMARK LENDING GROUP INC,Originator,2010-05-01,2010-08-01,4
10574,MOUNTAIN CREST MORTGAGE INC,Originator,2010-05-01,2011-02-01,10
10575,ACCENT MORTGAGE CORPORATION,Originator,2010-06-01,2010-12-01,3
10578,RICHLAND MORTGAGE COMPANY,Originator,2010-05-01,2011-03-01,8
1058,BANK3,Originator,2022-02-01,2025-06-01,5
10584,FIRST MARINER BANK,Originator,2010-05-01,2018-04-01,94
10584,FIRST MARINER BANK,Sponsor,2010-05-01,2016-12-01,4
10593,MAINLAND MORTGAGE CORPORATION,Originator,2010-05-01,2011-03-01,9
