category,file_name,relative_to_project,relative_to_data,parent_directory,suffix,size_bytes,size_mb,size_readable,modified_utc,created_utc
raw,fha_hecm_snapshot_20210501.xls,data\raw\hecm\fha_hecm_snapshot_20210501.xls,raw\hecm\fha_hecm_snapshot_20210501.xls,raw\hecm,xls,9361408,8.9277,8.93 MB,2025-06-07T13:55:26.976280+00:00,2025-06-07T13:55:17.344729+00:00
raw,fha_hecm_snapshot_20210601.xls,data\raw\hecm\fha_hecm_snapshot_20210601.xls,raw\hecm\fha_hecm_snapshot_20210601.xls,raw\hecm,xls,10466304,9.9814,9.98 MB,2025-06-07T13:55:14.300951+00:00,2025-06-07T13:55:03.578839+00:00
raw,fha_hecm_snapshot_20210701.xls,data\raw\hecm\fha_hecm_snapshot_20210701.xls,raw\hecm\fha_hecm_snapshot_20210701.xls,raw\hecm,xls,11324416,10.7998,10.80 MB,2025-06-07T13:55:01.106383+00:00,2025-06-07T13:54:49.469070+00:00
raw,fha_hecm_snapshot_20210801.xls,data\raw\hecm\fha_hecm_snapshot_20210801.xls,raw\hecm\fha_hecm_snapshot_20210801.xls,raw\hecm,xls,11085312,10.5718,10.57 MB,2025-06-07T13:54:47.083897+00:00,2025-06-07T13:54:35.656874+00:00
raw,fha_hecm_snapshot_20210901.xls,data\raw\hecm\fha_hecm_snapshot_20210901.xls,raw\hecm\fha_hecm_snapshot_20210901.xls,raw\hecm,xls,11336192,10.811,10.81 MB,2025-06-07T13:54:33.261430+00:00,2025-06-07T13:54:21.653602+00:00
raw,fha_hecm_snapshot_20211001.xls,data\raw\hecm\fha_hecm_snapshot_20211001.xls,raw\hecm\fha_hecm_snapshot_20211001.xls,raw\hecm,xls,12535808,11.9551,11.96 MB,2025-06-07T13:54:19.199500+00:00,2025-06-07T13:54:06.357003+00:00
raw,fha_hecm_snapshot_20211101.xls,data\raw\hecm\fha_hecm_snapshot_20211101.xls,raw\hecm\fha_hecm_snapshot_20211101.xls,raw\hecm,xls,12546560,11.9653,11.97 MB,2025-06-07T13:54:03.958773+00:00,2025-06-07T13:53:51.194362+00:00
raw,fha_hecm_snapshot_20211201.xlsx,data\raw\hecm\fha_hecm_snapshot_20211201.xlsx,raw\hecm\fha_hecm_snapshot_20211201.xlsx,raw\hecm,xlsx,1206890,1.151,1.15 MB,2025-06-07T13:53:48.744704+00:00,2025-06-07T13:53:47.431413+00:00
raw,fha_hecm_snapshot_20220101.xlsx,data\raw\hecm\fha_hecm_snapshot_20220101.xlsx,raw\hecm\fha_hecm_snapshot_20220101.xlsx,raw\hecm,xlsx,1273258,1.2143,1.21 MB,2025-06-07T13:53:44.871929+00:00,2025-06-07T13:53:43.439617+00:00
raw,fha_hecm_snapshot_20220201.xlsx,data\raw\hecm\fha_hecm_snapshot_20220201.xlsx,raw\hecm\fha_hecm_snapshot_20220201.xlsx,raw\hecm,xlsx,1196205,1.1408,1.14 MB,2025-06-07T13:53:40.919574+00:00,2025-06-07T13:53:39.621851+00:00
raw,fha_hecm_snapshot_20220301.xlsx,data\raw\hecm\fha_hecm_snapshot_20220301.xlsx,raw\hecm\fha_hecm_snapshot_20220301.xlsx,raw\hecm,xlsx,1375738,1.312,1.31 MB,2025-06-07T13:53:37.237557+00:00,2025-06-07T13:53:35.729114+00:00
raw,fha_hecm_snapshot_20220401.xlsx,data\raw\hecm\fha_hecm_snapshot_20220401.xlsx,raw\hecm\fha_hecm_snapshot_20220401.xlsx,raw\hecm,xlsx,1357958,1.295,1.30 MB,2025-06-07T13:53:33.344932+00:00,2025-06-07T13:53:31.866019+00:00
raw,fha_hecm_snapshot_20220501.xlsx,data\raw\hecm\fha_hecm_snapshot_20220501.xlsx,raw\hecm\fha_hecm_snapshot_20220501.xlsx,raw\hecm,xlsx,1331575,1.2699,1.27 MB,2025-06-07T13:53:29.482461+00:00,2025-06-07T13:53:28.001855+00:00
raw,fha_hecm_snapshot_20220601.xlsx,data\raw\hecm\fha_hecm_snapshot_20220601.xlsx,raw\hecm\fha_hecm_snapshot_20220601.xlsx,raw\hecm,xlsx,1342379,1.2802,1.28 MB,2025-06-07T13:53:25.615700+00:00,2025-06-07T13:53:24.115736+00:00
raw,fha_hecm_snapshot_20220701.xlsx,data\raw\hecm\fha_hecm_snapshot_20220701.xlsx,raw\hecm\fha_hecm_snapshot_20220701.xlsx,raw\hecm,xlsx,1266361,1.2077,1.21 MB,2025-06-07T13:53:21.692177+00:00,2025-06-07T13:53:20.311530+00:00
raw,fha_hecm_snapshot_20220801.xlsx,data\raw\hecm\fha_hecm_snapshot_20220801.xlsx,raw\hecm\fha_hecm_snapshot_20220801.xlsx,raw\hecm,xlsx,1332468,1.2707,1.27 MB,2025-06-07T13:53:17.854177+00:00,2025-06-07T13:53:16.413127+00:00
raw,fha_hecm_snapshot_20220901.xlsx,data\raw\hecm\fha_hecm_snapshot_20220901.xlsx,raw\hecm\fha_hecm_snapshot_20220901.xlsx,raw\hecm,xlsx,1135097,1.0825,1.08 MB,2025-06-07T13:53:13.834024+00:00,2025-06-07T13:53:12.587402+00:00
raw,fha_hecm_snapshot_20221001.xlsx,data\raw\hecm\fha_hecm_snapshot_20221001.xlsx,raw\hecm\fha_hecm_snapshot_20221001.xlsx,raw\hecm,xlsx,1160237,1.1065,1.11 MB,2025-06-07T13:53:10.199484+00:00,2025-06-07T13:53:08.930716+00:00
raw,fha_hecm_snapshot_20221101.xlsx,data\raw\hecm\fha_hecm_snapshot_20221101.xlsx,raw\hecm\fha_hecm_snapshot_20221101.xlsx,raw\hecm,xlsx,1131360,1.0789,1.08 MB,2025-06-07T13:53:06.532735+00:00,2025-06-07T13:53:05.285458+00:00
raw,fha_hecm_snapshot_20221201.xlsx,data\raw\hecm\fha_hecm_snapshot_20221201.xlsx,raw\hecm\fha_hecm_snapshot_20221201.xlsx,raw\hecm,xlsx,1090296,1.0398,1.04 MB,2025-06-07T13:53:02.916525+00:00,2025-06-07T13:53:01.698183+00:00
raw,fha_hecm_snapshot_20230101.xlsx,data\raw\hecm\fha_hecm_snapshot_20230101.xlsx,raw\hecm\fha_hecm_snapshot_20230101.xlsx,raw\hecm,xlsx,1067137,1.0177,1.02 MB,2025-06-07T13:52:59.319930+00:00,2025-06-07T13:52:57.861144+00:00
raw,fha_hecm_snapshot_20230201.xlsx,data\raw\hecm\fha_hecm_snapshot_20230201.xlsx,raw\hecm\fha_hecm_snapshot_20230201.xlsx,raw\hecm,xlsx,1053596,1.0048,1.00 MB,2025-06-07T13:52:55.449441+00:00,2025-06-07T13:52:54.295246+00:00
raw,fha_hecm_snapshot_20230301.xlsx,data\raw\hecm\fha_hecm_snapshot_20230301.xlsx,raw\hecm\fha_hecm_snapshot_20230301.xlsx,raw\hecm,xlsx,1157990,1.1043,1.10 MB,2025-06-07T13:52:51.896452+00:00,2025-06-07T13:52:50.609747+00:00
raw,fha_hecm_snapshot_20230401.xlsx,data\raw\hecm\fha_hecm_snapshot_20230401.xlsx,raw\hecm\fha_hecm_snapshot_20230401.xlsx,raw\hecm,xlsx,1050986,1.0023,1.00 MB,2025-06-07T13:52:48.234946+00:00,2025-06-07T13:52:47.091142+00:00
raw,fha_hecm_snapshot_20230501.xlsx,data\raw\hecm\fha_hecm_snapshot_20230501.xlsx,raw\hecm\fha_hecm_snapshot_20230501.xlsx,raw\hecm,xlsx,1065492,1.0161,1.02 MB,2025-06-07T13:52:44.620577+00:00,2025-06-07T13:52:43.442452+00:00
raw,fha_hecm_snapshot_20230601.xlsx,data\raw\hecm\fha_hecm_snapshot_20230601.xlsx,raw\hecm\fha_hecm_snapshot_20230601.xlsx,raw\hecm,xlsx,1096880,1.0461,1.05 MB,2025-06-07T13:52:40.935287+00:00,2025-06-07T13:52:39.705324+00:00
raw,fha_hecm_snapshot_20230701.xlsx,data\raw\hecm\fha_hecm_snapshot_20230701.xlsx,raw\hecm\fha_hecm_snapshot_20230701.xlsx,raw\hecm,xlsx,1068591,1.0191,1.02 MB,2025-06-07T13:52:37.323474+00:00,2025-06-07T13:52:36.139436+00:00
raw,fha_hecm_snapshot_20230801.xlsx,data\raw\hecm\fha_hecm_snapshot_20230801.xlsx,raw\hecm\fha_hecm_snapshot_20230801.xlsx,raw\hecm,xlsx,1105307,1.0541,1.05 MB,2025-06-07T13:52:33.699092+00:00,2025-06-07T13:52:32.435400+00:00
raw,fha_hecm_snapshot_20230901.xlsx,data\raw\hecm\fha_hecm_snapshot_20230901.xlsx,raw\hecm\fha_hecm_snapshot_20230901.xlsx,raw\hecm,xlsx,1100203,1.0492,1.05 MB,2025-06-07T13:52:30.052893+00:00,2025-06-07T13:52:28.844231+00:00
raw,fha_hecm_snapshot_20231001.xlsx,data\raw\hecm\fha_hecm_snapshot_20231001.xlsx,raw\hecm\fha_hecm_snapshot_20231001.xlsx,raw\hecm,xlsx,1106985,1.0557,1.06 MB,2025-06-07T13:52:26.461906+00:00,2025-06-07T13:52:25.217771+00:00
raw,fha_hecm_snapshot_20231101.xlsx,data\raw\hecm\fha_hecm_snapshot_20231101.xlsx,raw\hecm\fha_hecm_snapshot_20231101.xlsx,raw\hecm,xlsx,1079208,1.0292,1.03 MB,2025-06-07T13:52:22.703332+00:00,2025-06-07T13:52:21.515760+00:00
raw,fha_hecm_snapshot_20231201.xlsx,data\raw\hecm\fha_hecm_snapshot_20231201.xlsx,raw\hecm\fha_hecm_snapshot_20231201.xlsx,raw\hecm,xlsx,1079474,1.0295,1.03 MB,2025-06-07T13:52:18.829173+00:00,2025-06-07T13:52:17.648251+00:00
raw,fha_hecm_snapshot_20240101.xlsx,data\raw\hecm\fha_hecm_snapshot_20240101.xlsx,raw\hecm\fha_hecm_snapshot_20240101.xlsx,raw\hecm,xlsx,1070858,1.0212,1.02 MB,2025-06-07T13:52:15.200011+00:00,2025-06-07T13:52:13.996979+00:00
raw,fha_hecm_snapshot_20240201.xlsx,data\raw\hecm\fha_hecm_snapshot_20240201.xlsx,raw\hecm\fha_hecm_snapshot_20240201.xlsx,raw\hecm,xlsx,1059011,1.01,1.01 MB,2025-06-07T13:52:11.633697+00:00,2025-06-07T13:52:10.473678+00:00
raw,fha_hecm_snapshot_20240301.xlsx,data\raw\hecm\fha_hecm_snapshot_20240301.xlsx,raw\hecm\fha_hecm_snapshot_20240301.xlsx,raw\hecm,xlsx,1072747,1.0231,1.02 MB,2025-06-07T13:52:08.084045+00:00,2025-06-07T13:52:06.868679+00:00
raw,fha_hecm_snapshot_20240401.xlsx,data\raw\hecm\fha_hecm_snapshot_20240401.xlsx,raw\hecm\fha_hecm_snapshot_20240401.xlsx,raw\hecm,xlsx,1081916,1.0318,1.03 MB,2025-06-07T13:52:04.358839+00:00,2025-06-07T13:52:03.184822+00:00
raw,fha_hecm_snapshot_20240501.xlsx,data\raw\hecm\fha_hecm_snapshot_20240501.xlsx,raw\hecm\fha_hecm_snapshot_20240501.xlsx,raw\hecm,xlsx,1116368,1.0647,1.06 MB,2025-06-07T13:52:00.780066+00:00,2025-06-07T13:51:59.533201+00:00
raw,fha_hecm_snapshot_20240601.xlsx,data\raw\hecm\fha_hecm_snapshot_20240601.xlsx,raw\hecm\fha_hecm_snapshot_20240601.xlsx,raw\hecm,xlsx,1088649,1.0382,1.04 MB,2025-06-07T13:51:57.155412+00:00,2025-06-07T13:51:55.967112+00:00
raw,fha_hecm_snapshot_20240701.xlsx,data\raw\hecm\fha_hecm_snapshot_20240701.xlsx,raw\hecm\fha_hecm_snapshot_20240701.xlsx,raw\hecm,xlsx,1109766,1.0584,1.06 MB,2025-06-07T13:51:53.588906+00:00,2025-06-07T13:51:52.371743+00:00
raw,fha_hecm_snapshot_20240801.xlsx,data\raw\hecm\fha_hecm_snapshot_20240801.xlsx,raw\hecm\fha_hecm_snapshot_20240801.xlsx,raw\hecm,xlsx,1096760,1.046,1.05 MB,2025-06-07T13:51:49.835595+00:00,2025-06-07T13:51:48.604833+00:00
raw,fha_hecm_snapshot_20240901.xlsx,data\raw\hecm\fha_hecm_snapshot_20240901.xlsx,raw\hecm\fha_hecm_snapshot_20240901.xlsx,raw\hecm,xlsx,1090216,1.0397,1.04 MB,2025-06-07T13:51:46.237194+00:00,2025-06-07T13:51:45.008332+00:00
raw,fha_hecm_snapshot_20241001.xlsx,data\raw\hecm\fha_hecm_snapshot_20241001.xlsx,raw\hecm\fha_hecm_snapshot_20241001.xlsx,raw\hecm,xlsx,1114435,1.0628,1.06 MB,2025-06-07T13:51:42.549816+00:00,2025-06-07T13:51:41.328036+00:00
raw,fha_hecm_snapshot_20241101.xlsx,data\raw\hecm\fha_hecm_snapshot_20241101.xlsx,raw\hecm\fha_hecm_snapshot_20241101.xlsx,raw\hecm,xlsx,1041027,0.9928,1016.63 KB,2025-06-07T13:51:38.935166+00:00,2025-06-07T13:51:37.763676+00:00
raw,fha_hecm_snapshot_20241201.xlsx,data\raw\hecm\fha_hecm_snapshot_20241201.xlsx,raw\hecm\fha_hecm_snapshot_20241201.xlsx,raw\hecm,xlsx,1072085,1.0224,1.02 MB,2025-06-07T13:51:35.384340+00:00,2025-06-07T13:51:34.207309+00:00
